case_id,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept_tag,severity
NET-001,PC1 cannot reach Server1 in VLAN 30,Router-on-a-Stick (R1 Gi0/0 connected to SW1 Trunk Gi0/1),R1# show ip interface brief\nInterface              IP-Address      OK? Method Status                Protocol\nGigabitEthernet0/0     unassigned      YES manual up                    up\nGigabitEthernet0/0.10  192.168.10.1    YES manual up                    up\nGigabitEthernet0/0.20  192.168.20.1    YES manual up                    up\nGigabitEthernet0/0.30  192.168.30.1    YES manual administratively down line protocol is down\nGigabitEthernet0/1     10.0.0.1        YES manual up                    up,Sub-interface administratively down,Layer 3,Inter-VLAN Routing,High
NET-002,VLAN 20 hosts cannot route out to WAN gateway,R1 sub-interfaces configured for VLAN 10 and VLAN 20 on Trunk,R1# show running-config interface GigabitEthernet0/0.20\nBuilding configuration...\n\nCurrent configuration : 98 bytes\n!\ninterface GigabitEthernet0/0.20\n ip address 192.168.20.1 255.255.255.0\n!\nend\n% Warning: 802.1Q encapsulation is missing on sub-interface Gi0/0.20,Missing 802.1Q encapsulation on sub-interface,Layer 3,Inter-VLAN Routing,High
NET-003,Engineering PC on VLAN 40 cannot reach default gateway,SW1 (Trunk Fa0/24) connected to Core Switch SW2 (Trunk Fa0/24),SW1# show interfaces trunk\nPort        Mode         Encapsulation  Status        Native vlan\nFa0/24      on           802.1q         trunking      1\n\nPort        Vlans allowed on trunk\nFa0/24      10,20,30\n\nPort        Vlans allowed and active in management domain\nFa0/24      10,20,30\n\nPort        Vlans in spanning tree forwarding state and not pruned\nFa0/24      10,20,30,VLAN not in trunk allowed list,Layer 2,VLAN Trunking,High
NET-004,Finance host PC4 in port Fa0/5 receives wrong subnet IP from rogue pool,SW1 Access Switch with Sales VLAN 10 and Finance VLAN 20,SW1# show interfaces FastEthernet0/5 switchport\nName: Fa0/5\nSwitchport: Enabled\nAdministrative Mode: static access\nOperational Mode: static access\nAdministrative Trunking Encapsulation: dot1q\nNegotiation of Trunking: Off\nAccess Mode VLAN: 10 (Sales)\nTrunking Native Mode VLAN: 1 (default)\nVoice VLAN: none,Access port assigned to wrong VLAN,Layer 2,VLAN,Medium
NET-005,Trunk link between SW1 and SW2 shows line down/down,SW1 Fa0/1 connected directly to SW2 Fa0/1,SW1# show interfaces FastEthernet0/1 switchport\nAdministrative Mode: dynamic desirable\nOperational Mode: trunk\nAdministrative Trunking Encapsulation: dot1q\n!\nSW2# show interfaces FastEthernet0/1 switchport\nAdministrative Mode: static access\nOperational Mode: static access\nNegotiation of Trunking: Off\nSwitchport mode mismatch between interconnecting switchports,Switchport mode mismatch (access vs trunk),Layer 2,Switching,High
NET-006,CDP reports Native VLAN Mismatch between Core-SW1 and Dist-SW2,Core-SW1 Gi0/1 connected to Dist-SW2 Gi0/1,Core-SW1# show logging | include Native\n%CDP-4-NATIVE_VLAN_MISMATCH: Native VLAN mismatch discovered on GigabitEthernet0/1 (99), with Dist-SW2 GigabitEthernet0/1 (1).\nCore-SW1# show interfaces GigabitEthernet0/1 trunk\nPort        Mode         Encapsulation  Status        Native vlan\nGi0/1       on           802.1q         trunking      99,Native VLAN mismatch on trunk link,Layer 2,VLAN Trunking,Medium
NET-007,Newly created VLAN 50 does not propagate to client switches SW2 and SW3,SW1 (VTP Server) connected to SW2 (VTP Client),SW1# show vtp status\nVTP Version capable             : 1 to 3\nVTP Operating Mode                : Server\nVTP Domain Name                   : CISCO_LAB\n!\nSW2# show vtp status\nVTP Version capable             : 1 to 3\nVTP Operating Mode                : Client\nVTP Domain Name                   : LAB_PRODUCTION\nVTP MD5 digest                    : 0x9A 0x82 0x11 0x04,VTP domain name mismatch,Layer 2,VTP,High
NET-008,Reception PC port Fa0/2 suddenly turned amber and lost all link traffic,SW1 Port-Security enabled on edge ports,SW1# show interfaces FastEthernet0/2 status\nPort      Name               Status       Vlan       Duplex  Speed Type\nFa0/2     Reception-PC       err-disabled 10         auto    auto  10/100BaseTX\nSW1# show port-security interface FastEthernet0/2\nPort Security              : Enabled\nPort Status                : Secure-shutdown\nViolation Mode             : Shutdown\nSecurity Violation Count   : 1,Port-Security violation caused err-disabled state,Layer 2,Port Security,High
NET-009,Dynamic ARP Inspection drops DHCP clients attempting to resolve gateway,SW1 DAI enabled for VLAN 10 with uplink to Router on Gi0/1,SW1# show ip arp inspection vlan 10\nSource Mac Validation      : Disabled\nDestination Mac Validation : Disabled\nIP Transition Validation   : Disabled\nVlan 10 : Total 42, Dropped 42 (DHCP/ARP drop)\nSW1# show ip arp inspection interfaces GigabitEthernet0/1\nInterface        Trust State     Rate (pps)\n---------------  -----------     ----------\nGi0/1            Untrusted       15,DAI untrusted uplink interface,Layer 2,Security/DAI,High
NET-010,Accounting workstation PC2 cannot browse external web server at 8.8.8.8,Branch Office LAN (192.168.1.0/24) with Default Gateway R1 at 192.168.1.1,PC2> ipconfig /all\nPhysical Address................: 000C.2984.AB11\nIP Address......................: 192.168.1.55\nSubnet Mask.....................: 255.255.255.0\nDefault Gateway.................: 192.168.1.254\nDNS Server......................: 8.8.8.8\nPC2> ping 192.168.1.254\nRequest timed out.,Missing or incorrect default gateway,Layer 3,Addressing,High
NET-011,Console alert: IP-4-DUPADDR detected on GigabitEthernet0/0,R1 (10.1.1.1/24) connected to Branch Switch SW1,R1# show logging | include DUPADDR\n%IP-4-DUPADDR: Duplicate address 10.1.1.1 on GigabitEthernet0/0, sourced by 0014.a821.5b99\nR1# show ip interface GigabitEthernet0/0\nGigabitEthernet0/0 is up, line protocol is up\n  Internet address is 10.1.1.1/24\n  Broadcast address is 255.255.255.255,Duplicate IP address on subnet,Layer 3,Addressing,High
NET-012,Branch router R2 cannot reach headquarters network 172.16.0.0/16,R2 (Serial 0/0/0: 10.0.0.2/30) connected to HQ R1 (Serial 0/0/0: 10.0.0.1/30),R2# show ip route static\nS    172.16.0.0/16 [1/0] via 10.0.0.5\nR2# show ip interface brief | include Serial\nSerial0/0/0               10.0.0.2        YES manual up                    up\nSerial0/0/1               unassigned      YES manual administratively down down\nR2# ping 10.0.0.5\nType escape sequence to abort.\n..... (0/5 packets received),Invalid static route next-hop IP,Layer 3,Static Routing,High
NET-013,OSPF neighbor relationship between R1 and R2 stuck in INIT/DOWN state,R1 Gi0/0 (10.1.12.1/30) to R2 Gi0/0 (10.1.12.2/30) Area 0,R1# show ip ospf interface GigabitEthernet0/0\nGigabitEthernet0/0 is up, line protocol is up\n  Internet Address 10.1.12.1/30, Area 0\n  Timer intervals configured, Hello 10, Dead 40, Wait 40, Retransmit 5\n!\nR2# show ip ospf interface GigabitEthernet0/0\nGigabitEthernet0/0 is up, line protocol is up\n  Internet Address 10.1.12.2/30, Area 0\n  Timer intervals configured, Hello 30, Dead 120, Wait 120, Retransmit 5,OSPF hello/dead timer mismatch,Layer 3,OSPF,High
NET-014,R1 does not receive OSPF routes from R2 across internal LAN,R1 (Gi0/1: 192.168.1.1/24) to R2 (Gi0/1: 192.168.1.2/24),R1# show ip ospf neighbor\n(no neighbors listed)\nR1# show ip protocols\nRouting Protocol is \"ospf 1\"\n  Outgoing update filter list for all interfaces is not set\n  Passive Interfaces:\n    GigabitEthernet0/1\n  Routing for Networks:\n    192.168.1.0 0.0.0.255 area 0,OSPF passive-interface misconfiguration on link,Layer 3,OSPF,High
NET-015,Multiple LAN users fail to access Internet through Cisco edge router NAT,R1 Edge Router doing NAT for 192.168.0.0/24 through Gi0/1 (Public IP 203.0.113.2),R1# show running-config | include ip nat\nip nat inside source list 1 interface GigabitEthernet0/1\nip access-list standard 1\n permit 192.168.0.0 0.0.255.255\nR1# show ip nat translations\n(no active translations),Missing NAT overload/PAT keyword,Layer 3/4,NAT,High
NET-016,Internal hosts cannot translate IP addresses across edge router,R1 Router connecting LAN (Gi0/0) to WAN ISP (Gi0/1),R1# show running-config interface GigabitEthernet0/0\ninterface GigabitEthernet0/0\n ip address 192.168.10.1 255.255.255.0\n!\nR1# show running-config interface GigabitEthernet0/1\ninterface GigabitEthernet0/1\n ip address 209.165.200.225 255.255.255.252\n ip nat outside\n!\n% Notice: GigabitEthernet0/0 is missing 'ip nat inside' configuration,Missing 'ip nat inside' interface direction configuration,Layer 3,NAT,High
NET-017,Staff cannot browse company intranet portal on TCP port 80/443,Client PC (10.1.1.50) through Core Router R1 to Web Server (10.2.2.100),R1# show access-lists 101\nExtended IP access list 101\n    10 deny tcp 10.1.1.0 0.0.0.255 any eq www (matches: 142 packets)\n    20 deny tcp 10.1.1.0 0.0.0.255 any eq 443 (matches: 89 packets)\n    30 permit ip any any\nR1# show interfaces GigabitEthernet0/0 | include access-group\n  Inbound access list is 101,ACL blocking specific destination port (80/443),Layer 4,ACL,High
